upc,product_description,commodity,brand,product_size,brand_commodity,brand_commodity_unique,brand_commodity_size,brand_commodity_size_unique
111112360,VINCENT S ORIG MARINARA S,pasta sauce,Vincent's,25 OZ,Vincent's pasta sauce,brand_commodity,Vincent's pasta sauce 25 OZ,brand_commodity_size
566300023,PINE MOUNTAIN SYRUP,syrups,Pine Mountain,40 OZ,Pine Mountain syrups,Vincent's pasta sauce,Pine Mountain syrups 40 OZ,Vincent's pasta sauce 25 OZ
566300028,MILLER CANE SYRUP,syrups,Miller,19 OZ,Miller syrups,Pine Mountain syrups,Miller syrups 19 OZ,Pine Mountain syrups 40 OZ
566300029,MILLER CANE SYRUP,syrups,Miller,12 OZ,Miller syrups,Miller syrups,Miller syrups 12 OZ,Miller syrups 19 OZ
566300035,PINE MOUNTAIN SYRUP,syrups,Pine Mountain,19 OZ,Pine Mountain syrups,Barilla pasta sauce,Pine Mountain syrups 19 OZ,Miller syrups 12 OZ
601011292,BARILLA MARINARA PSTA SCE,pasta sauce,Barilla,26    OZ,Barilla pasta sauce,Elena's pasta sauce,Barilla pasta sauce 26    OZ,Pine Mountain syrups 19 OZ
601011293,BARILLA SWT PEPPER/GARLIC,pasta sauce,Barilla,26 OUNCE,Barilla pasta sauce,Elena's pasta,Barilla pasta sauce 26 OUNCE,Barilla pasta sauce 26    OZ
601011294,BARILLA ARRABBIATA SPCY P,pasta sauce,Barilla,26 OZ,Barilla pasta sauce,Boves pasta sauce,Barilla pasta sauce 26 OZ,Barilla pasta sauce 26 OUNCE
601011295,BARILLA\BL GRN OLIVE SCE,pasta sauce,Barilla,26 OZ,Barilla pasta sauce,Fastshake pancake mixes,Barilla pasta sauce 26 OZ,Barilla pasta sauce 26 OZ
601011296,BARILLA BASILICO SAUCE,pasta sauce,Barilla,26 OZ,Barilla pasta sauce,Golden Eagle syrups,Barilla pasta sauce 26 OZ,Elena's pasta sauce 16 OZ
601011297,BARILLA CHAMAPNOLA SAUCE,pasta sauce,Barilla,26 OZ,Barilla pasta sauce,RR pasta sauce,Barilla pasta sauce 26 OZ,Elena's pasta sauce 17 OZ
601011301,BARILLA LASAG&CASS SAUCE,pasta sauce,Barilla,26 OZ,Barilla pasta sauce,Gooch pasta,Barilla pasta sauce 26 OZ,Elena's pasta sauce 26.5 OZ
601011588,BARILLA BOSCAIOLA SAUCE,pasta sauce,Barilla,26 OZ,Barilla pasta sauce,Alaga syrups,Barilla pasta sauce 26 OZ,Elena's pasta 12 OZ
789310100,ELENAS BREAD DIPPING SCE,pasta sauce,Elena's,16 OZ,Elena's pasta sauce,M W Flapstax pancake mixes,Elena's pasta sauce 16 OZ,Boves pasta sauce 26 OZ
789310101,ELENAS BASIL&GARLIC SAUCE,pasta sauce,Elena's,16 OZ,Elena's pasta sauce,Grandma Molases syrups,Elena's pasta sauce 16 OZ,Boves pasta sauce KH# 71916
789310106,ELENA SEMPLICE PMODORO,pasta sauce,Elena's,17 OZ,Elena's pasta sauce,Dell Amore pasta sauce,Elena's pasta sauce 17 OZ,Fastshake pancake mixes 5 OZ
789310108,ELENAS FORMAGGIO SAUCE,pasta sauce,Elena's,16 OZ,Elena's pasta sauce,Creamette pasta,Elena's pasta sauce 16 OZ,Fastshake pancake mixes 10.5 OZ
789310110,ELENAS AGLIO ARROSTITIO S,pasta sauce,Elena's,16 OZ,Elena's pasta sauce,Pennsylvania Dutch pasta,Elena's pasta sauce 16 OZ,Golden Eagle syrups 15 OZ
789310201,ELENAS BASILICATA SAUCE,pasta sauce,Elena's,26.5 OZ,Elena's pasta sauce,Healthy Harvest pasta,Elena's pasta sauce 26.5 OZ,RR pasta sauce 24 OZ
789312112,ELENAS QTRO A/H PSTA W/SC,pasta,Elena's,12 OZ,Elena's pasta,Bisquick pancake mixes,Elena's pasta 12 OZ,Gooch pasta 16 OZ
789316104,ELENAS TRE RNBW LNG PASTA,pasta,Elena's,12 OZ,Elena's pasta,Bruce's pancake mixes,Elena's pasta 12 OZ,Alaga syrups 24 OZ
923100001,BOVES MARINARA PSTA SCE,pasta sauce,Boves,26 OZ,Boves pasta sauce,Hungry Jack syrups,Boves pasta sauce 26 OZ,M W Flapstax pancake mixes 5.5 OZ
923100002,BOVES RSTD GRL SCE 26 OZ,pasta sauce,Boves,KH# 71916,Boves pasta sauce,Hungry Jack pancake mixes,Boves pasta sauce KH# 71916,Grandma Molases syrups 12 OZ
923100003,BOVES CHNTI MSHR PSTA SCE,pasta sauce,Boves,26 OZ,Boves pasta sauce,Newman's pasta sauce,Boves pasta sauce 26 OZ,Dell Amore pasta sauce 26 OZ
923100004,BOVES RMNO PMDRA PSTA SCE,pasta sauce,Boves,26 OZ,Boves pasta sauce,Kraft pasta,Boves pasta sauce 26 OZ,Dell Amore pasta sauce 16 OZ
923100005,BOVES VODKA PSTA SAUCE,pasta sauce,Boves,26 OZ,Boves pasta sauce,Brier Rabbit syrups,Boves pasta sauce 26 OZ,Creamette pasta 7 OZ
923100006,BOVES ROASTED PEPPER SAUC,pasta sauce,Boves,26 OZ,Boves pasta sauce,Sobrab Bkstrp syrups,Boves pasta sauce 26 OZ,Creamette pasta 16 OZ
1112600710,FASTSHAKE PANCAKE MIX BTR,pancake mixes,Fastshake,5 OZ,Fastshake pancake mixes,Dececco pasta,Fastshake pancake mixes 5 OZ,Creamette pasta N     1 LB
1112600715,FASTSHAKE BUTTERMILK FMLY,pancake mixes,Fastshake,10.5 OZ,Fastshake pancake mixes,Eden pasta,Fastshake pancake mixes 10.5 OZ,Creamette pasta 32 OZ
1112600720,FASTSHAKE BLUEBERRY,pancake mixes,Fastshake,5 OZ,Fastshake pancake mixes,Pomi pasta sauce,Fastshake pancake mixes 5 OZ,Creamette pasta 1 LB
1112900013,GLDN EAGLE SYRUP REG,syrups,Golden Eagle,15 OZ,Golden Eagle syrups,Annarino pasta sauce,Golden Eagle syrups 15 OZ,Creamette pasta 16  OZ
1124618059,RR ARTICHOKE PASTA SAUCE,pasta sauce,RR,24 OZ,RR pasta sauce,La Russa pasta,RR pasta sauce 24 OZ,Creamette pasta 16  Z
1140060206,GOOCH SOY ENRCH SPAGH,pasta,Gooch,16 OZ,Gooch pasta,Hunt's pasta sauce,Gooch pasta 16 OZ,Creamette pasta 8 OZ
1160000004,ALAGA REAL CANE FLV SYRUP,syrups,Alaga,24 OZ,Alaga syrups,Vita pasta,Alaga syrups 24 OZ,Creamette pasta 12 OZ
1160000413,ALAGA YELL LBL HNY FLV SY,syrups,Alaga,24 OZ,Alaga syrups,Maggi Spaetzle pasta,Alaga syrups 24 OZ,Creamette pasta 2 LB
1330052501,M W FLAPSTAX BTRMLK-POUCH,pancake mixes,M W Flapstax,5.5 OZ,M W Flapstax pancake mixes,Mother's pasta,M W Flapstax pancake mixes 5.5 OZ,Creamette pasta 16OZ
